0	1.173
32.233	1.173
32.267	1.123
0.02	1.172
0.03	1.174
32.7	1.224
32.733	1.174
32.767	1.224
32.8	1.173
32.833	1.174
32.867	1.224
32.9	1.174
0.06	1.224
0.11	1.174
0.13	1.224
0.17	1.224
0.21	1.275
0.25	1.325
0.28	1.274
0	1.274
0.28	1.224
34.7	1.275
0.34733	1.174
0.34767	1.224
0.348	1.274
0.34833	1.224
0.34867	1.275
0.3	1.224
0.33	1.225
0.32	1.224
0.35067	1.224
0.351	1.225
0.35133	1.225
0.35167	1.275
0.352	1.275
0.35233	1.275
0.35267	1.274
0.353	1.225
0.35333	1.225
0.35367	1.174
0.354	1.174
0.35433	1.124
0.35467	1.125
0.41	1.075
0.44	0.876
0.47	0.826
0.5	0.717
36.4	0.864
36.433	0.963
36.467	1.011
0.5	1.11
36.533	1.109
0.53	1.207
0.57	1.954
0.6	3.465
37.233	4.266
0.6	4.566
37.3	4.866
37.333	5.216
0.63	5.566
37.633	8.557
37.667	8.956
37.7	9.256
0.68	9.657
37.767	10.009
0.68	10.152
37.833	10.583
0.68	10.91
0.7	11.234
0.75	14.187
0.78	18.607
0.7	19.147
0.78	20.555
0.7	21.046
0.78	22.079
0.82	22.514
0.85	27.01
0.87	31.895
0.92	37.309
0	42.806
39.833	44.232
39.867	45.043
39.9	45.732
39.933	46.605
39.967	47.357
0.94	48.105
0.98	48.922
1.02	54.728
1.03	60.499
1.08	66.454
1.1	72.515
1.15	78.514
1.18	84.017
1.21	89.263
1.27	93.565
1.23	94.113
1.28	96.565
1.26	96.651
1.3	95.917
1.33	95.276
1.38	95.001
1.42	95.087
1.44	94.903
